created_at,id,retweet_count,favorite_count
Mon Feb 27 17:01:56 +0000 2017,836260088725786625,4251,21148
Sun Feb 26 23:52:43 +0000 2017,836001077879255040,4201,18927
Sun Feb 26 02:57:52 +0000 2017,835685285446955009,8034,0
Sat Feb 25 19:37:50 +0000 2017,835574547218894849,3572,17657
Sat Feb 25 17:06:32 +0000 2017,835536468978302976,1672,0
Sat Feb 25 02:03:02 +0000 2017,835309094223372289,20672,0
Sat Feb 25 01:18:40 +0000 2017,835297930240217089,2975,16352
Fri Feb 24 23:04:14 +0000 2017,835264098648616962,1672,7683
Fri Feb 24 21:54:03 +0000 2017,835246439529840640,73,2085
Fri Feb 24 17:01:22 +0000 2017,835172783151792128,5698,25983
Fri Feb 24 15:40:31 +0000 2017,835152434251116546,2979,22233
Fri Feb 24 01:03:08 +0000 2017,834931633769889797,1620,10726
Thu Feb 23 15:25:23 +0000 2017,834786237630337024,5435,21241
Thu Feb 23 01:22:14 +0000 2017,834574053763584002,2500,13557
Wed Feb 22 18:59:48 +0000 2017,834477809192075265,10510,0
Wed Feb 22 17:41:18 +0000 2017,834458053273591808,1660,9543
Wed Feb 22 01:14:30 +0000 2017,834209720923721728,4697,20448
Tue Feb 21 22:26:07 +0000 2017,834167344700198914,3622,15716
Tue Feb 21 17:18:39 +0000 2017,834089966724603904,2110,9978
Tue Feb 21 17:04:24 +0000 2017,834086379323871233,2184,12979
Tue Feb 21 02:17:06 +0000 2017,833863086058651648,2384,13352
Mon Feb 20 23:50:09 +0000 2017,833826103416520705,3736,17966
Mon Feb 20 17:37:34 +0000 2017,833732339549220864,221,0
Mon Feb 20 17:00:04 +0000 2017,833722901757046785,3185,20708
Mon Feb 20 00:53:27 +0000 2017,833479644947025920,2032,14780
Sun Feb 19 01:23:00 +0000 2017,833124694597443584,4787,20067
Sat Feb 18 17:00:10 +0000 2017,832998151111966721,2181,13180
Sat Feb 18 01:50:19 +0000 2017,832769181346996225,39,0
Sat Feb 18 01:03:09 +0000 2017,832757312314028032,3588,16775
Fri Feb 17 20:05:43 +0000 2017,832682457690300417,2883,11807
Fri Feb 17 17:38:57 +0000 2017,832645525019123713,525,2912
Fri Feb 17 17:01:29 +0000 2017,832636094638288896,2757,15773
Fri Feb 17 01:13:34 +0000 2017,832397543355072512,2196,11910
Thu Feb 16 23:23:38 +0000 2017,832369877331693569,3158,17104
Thu Feb 16 17:00:25 +0000 2017,832273440279240704,2323,11298
Thu Feb 16 13:11:49 +0000 2017,832215909146226688,6155,0
Thu Feb 16 13:11:05 +0000 2017,832215726631055365,9243,0
Thu Feb 16 04:45:50 +0000 2017,832088576586297345,2,62
Thu Feb 16 01:34:34 +0000 2017,832040443403784192,9531,0
Thu Feb 16 01:04:13 +0000 2017,832032802820481025,4619,17781
Wed Feb 15 18:54:34 +0000 2017,831939777352105988,6087,23873
Wed Feb 15 18:03:45 +0000 2017,831926988323639298,34,334
Wed Feb 15 17:02:36 +0000 2017,831911600680497154,6446,27471
Wed Feb 15 01:04:21 +0000 2017,831670449226514432,1801,10387
Tue Feb 14 23:43:18 +0000 2017,831650051525054464,1910,7098
Tue Feb 14 17:17:22 +0000 2017,831552930092285952,2301,8945
Tue Feb 14 02:02:51 +0000 2017,831322785565769729,1539,9250
Tue Feb 14 01:35:49 +0000 2017,831315979191906304,1117,6518
Tue Feb 14 01:09:44 +0000 2017,831309418084069378,2448,11714
Mon Feb 13 22:03:49 +0000 2017,831262627380748289,2028,11858
Mon Feb 13 01:46:03 +0000 2017,830956169170665475,1486,7943
